formula,id,band_gap,formation_energy,energy_above_hull
SrFeNi2(PO4)3,mp-1195488,1.4127,-2.487503936,0
CeTl(PSe3)2,mp-1195195,0,-0.914590577,0
Nd2(Zn2Ge)3,mp-11667,0,-0.420282306,0
Pr3GePO9,mp-14328,4.4089,-3.32850209,0
NaZr2ZnF11,mp-15141,5.7246,-3.637391301,0
Cs3ScF6,mp-1112965,6.3471,-3.50613267,0.013341154
Ca2TaMoO6,mp-1366540,1.4283,-3.081179452,0
ThU4(Cu4Pd)5,mp-1217741,0,-0.128726133,0.046151685
Ac2Cl2O,mp-1207291,0.2363,-1.524639032,1.313464733
Lu5Zr3(Ni4As3)4,mp-1196994,0,-0.796999818,0
Mn3Co3(TeO8)2,mp-771946,0,-1.448270741,0.091301773
Tm2CdGe2,mp-1079644,0,-0.669781885,0
Na6ScTa3(SiO4)6,mp-2715430,3.77,-3.097019027,0.022547993
Lu(Fe5Si)2,mp-1222514,0,-0.248877211,0
Cu2WO4,mp-683666,0.6311,-1.244484308,0.281193959
Sr2Cu2TeO7,mp-1046197,0,-1.717825645,0.307541144
Li9Mn2Co5O16,mp-1175660,0.6025,-1.807506864,0.098921408
Ca(TiS2)8,mp-1048589,0,-1.710085916,0
Na7Y2Hf2Si3(PO8)3,mp-2715180,4.2346,-3.116186524,0.02377941
CsLu(MoO4)2,mp-1213334,3.5298,-2.545086881,0.039123073
Th5Sn3,mp-30873,0,-0.567208946,0
DyMg,mp-2077,0,-0.058876588,0
K2AlB5O14,mp-1224633,0.2959,-1.862888325,0.508897923
Li3WN2,mp-1246718,0,-0.622649824,0.250178976
Na6CaSi2Sn3(PO6)4,mp-2715348,2.0352,-2.617895035,0.056780692
Lu2CuAs3,mp-1207304,0.1321,2.309589139,3.467377726
Li9Mn2Co5O16,mp-1100728,0,-1.775239886,0.131188385
Mg6AlZnO8,mp-1033130,0,-2.741952989,0.195487167
Al2ZnS4,mp-1096810,3.0979,-1.189187782,0.000766054
Pm3Er,mp-1186502,0,0.032902696,0.032902696
Na2Ta6Ga2Si7S5O48,mp-2715776,2.6581,-2.738506777,0.040754238
NaNi2H3(SeO5)2,mp-1221027,2.7127,-1.360925424,0
Mg3Te,mp-1185797,0,-0.239216678,0.296568224
ScGa2,mp-11412,0,-0.6096569,0
BiTeRh,mp-1227426,0.162,-0.524436662,0
AlVMoO7,mp-20014,2.0209,-2.457087179,0
LiAlHg2,mp-1096281,0,0.833209243,1.027623384
Mg30BiBO32,mp-1098202,1.8777,-2.865973973,0.119759412
AlWO3,mp-1417649,0,-1.448754538,1.178439271
GdTiCdSbO7,mp-39684,2.3292,-2.78079702,0
BaCaSn3,mp-583645,0,-0.6082998,0.001525398
Mg(FeO2)2,mp-532433,0,-1.982189493,0.180368892
CaIrO3,mp-1079054,0,-1.776031614,0.323336272
LiFeSiO4,mp-859102,1.7212,-2.455145056,0.090872514
PbS,mp-1078500,1.2177,-0.752608416,0.03096096
Na4YTa3Si4(PO12)2,mp-2715064,3.1321,-3.097242108,0.04564997
Ca3V2O7,mp-1370470,0.9998,-2.992108214,0.004302287
HfBr4,mp-1212517,4.2933,-1.628441633,0
Li4VCo3O8,mp-753470,1.1025,-1.917441655,0.086152339
LiCu2F6,mp-863372,0,-2.06880137,0.021086557
Cr3N2,mp-1014454,0,-0.283983616,0.315365839
CoN6(ClO)2,mp-1199578,0.1662,0.427953944,0.879982675
Sr2TiAlCu2O7,mp-1249417,0,-2.575371339,0.186093654
Sr2GdNbO6,mp-1518774,2.8344,-3.411394828,0.02340975
CaNd3,mp-983582,0,0.089137312,0.089137312
Sr2MgTlCuO5,mp-2223136,0,-1.979422581,0.292137291
KOsN2,mp-1246367,0,0.066406223,0.213814446
Eu2Ge3Au,mp-1102390,0,-0.652630449,0
Tl2Ge2Se5,mp-540818,1.4126,-0.610636713,0
Mg14ZnSb,mp-1027899,0,-0.018359881,0.061817389
Ca3Zr17O37,mp-674516,0,-3.603828463,0.141444022
Na2BiO3,mp-780618,0,-1.660193517,0.071364069
KNaCa2(SiO3)8,mp-1226150,0.4556,-2.439827327,0.337154068
CuGe3,mp-1184183,0,0.324850239,0.324850239
MgV6O5F19,mp-2220500,0,-2.834254394,0.065837193
Li2FeH4(SO5)2,mp-770588,4.2367,-1.799384915,0.048862017
MgFe6Sb10(IO3)6,mp-1233566,1.5514,-1.448074267,0.097787677
Mn2Fe3Co3O16,mp-772328,0,-1.265357807,0.123302911
Zr3U7O20,mp-766007,0,-3.703701392,0.304438024
MgZn2(BiO3)4,mp-2230573,0.0727,-1.555268142,0.096607624
MgV5CoO12,mp-2231512,1.0036,-2.319078505,0.133883478
Li9Mn2Co5O16,mp-1175533,0.6106,-1.82724776,0.079180511
Ca2AgRh,mp-1183516,0,-0.299633551,0.034285247
Bi2OsAu,mp-631571,0,0.67933046,0.703252707
LiTaGeO5,mp-1222344,3.7967,-2.755211,0.004194907
Li5BiO4,mp-769040,2.4426,-1.946899936,0.046776341
UMo5O16,mp-32069,0,-2.228384313,0.028353339
Na2PrWO6,mp-1516196,0,-2.403283914,0.093754664
Mg6VSb,mp-1021653,0,0.069429625,0.203220669
Na5Sc4P5SO24,mp-2715082,4.4893,-2.988574724,0.012107037
LaTaZnCrO6,mp-1049235,1.8525,-2.872991134,0.149160914
ZrTaRe2,mp-1096000,0,4.530790722,4.836545284
TmHfOs2,mp-865209,0,-0.546848865,0.084787951
Li2Cu(PO3)4,mp-761911,0.869,-2.436031868,0.043051902
LiCo5O7F,mp-1306750,0.4512,-1.49163336,0.041150249
Li3Co2O5,mp-1174026,0.2071,-1.69072397,0.071618372
Mg3BiO4,mp-1099246,0.2037,-2.086522131,0.536213656
InPH5NO5,mp-764968,3.5128,-1.608998711,0
CaVP2O7,mp-1042009,2.1767,-2.877774508,0.03364917
MgCd5,mp-1094742,0,0.008359679,0.039903622
RbErS2O9,mp-1209674,0.8517,-2.210724635,0.142399038
VGe2,mp-1084800,0,-0.168534333,0.032563328
Rb3Th,mp-1186912,0,1.041367382,1.041367382
Ba3P2(SeO)4,mp-1192881,1.3262,-2.344026897,0.009407831
Tm3Pt4,mp-1105001,0,-1.388354681,0
C4O5F6,mp-556192,5.3178,-1.843271727,0.131479119
MgCrF4,mp-1045314,3.4969,-3.283422548,0.038485505
VZnP2O7,mp-1048243,1.9877,-2.502668441,0.018612591
MgCrGaO4,mp-2239948,2.1823,-2.338087285,0.240445345
TbBPd3,mp-3022,0,-0.654714329,0.112749955
BaF2,mp-8644,5.9306,-4.027698763,0.136285352
LiFeB2O5,mp-774231,2.6882,-2.455479607,0.044136501
NdGd2,mp-582464,0,1.654705084,1.654705084
VO2,mp-634430,0,-2.099689411,0.419910287
Hf6Al2Fe,mp-1224393,0,-0.290239771,0
Cr5Cu(GeO6)2,mp-1213937,0.5471,-2.141990988,0.491229603
InGaS3,mp-504951,2.0937,-0.779560963,0
AlCrMo6(H19O20)2,mp-1201081,3.412,-1.540791688,0.018669321
GeSb3,mp-1184683,0,0.15228952,0.15228952
SrBe2(BO3)2,mp-558981,5.3547,-3.111990917,0.007696537
Cr4(PO4)3,mp-26840,0,-2.466454435,0.033639047
Li9Mn2Co5O16,mp-1176114,0.1897,-1.775697522,0.13073075
LiZrSe2,mp-1001615,0,-1.56655716,0
Eu(YS2)2,mp-38971,0.4536,-2.383239449,0.021692126
SrMg,mp-1094880,0,-0.014495192,0.043504547
H5IO6,mp-1181667,1.266,-0.972418734,0.050645629
MgZn2,mp-1094504,0,0.003534482,0.134164787
Ag(AuS)2,mp-35835,0,-0.05503952,0.051189179
CrHSe3O8,mp-744182,0,-1.186324551,0.265277912
ReTe,mp-974469,0,0.57551395,0.901991908
Rb2Pr2Mg(WO4)4,mp-1234646,2.0543,-2.57917722,0.070761909
Na3Mn2(GeO4)3,mp-1013842,0,-1.943853685,0.064822424
TeMo6,mp-1237627,0,1.794806015,1.870426486
YMn2,mp-558,0,0.16194284,0.16194284
Li4V3P8O29,mp-1177292,1.1292,-2.561971618,0.056729823
PrAsO4,mp-754109,3.7516,-2.583800997,0
Li7Mn11O24,mp-685293,0,-2.04149985,0.023588365
K3B12H12Br,mp-634464,0.6967,0.608533609,1.133596952
LiNi(PO3)4,mp-1176606,0,-2.379929063,0.042138703
LiTiIr2,mp-864930,0,-0.660227134,0
LiMg6Cd,mp-1021276,0,-0.027577209,0.040547069
Nb4CrSe8,mp-17865,0,-0.975836668,0.145682137
Mn3Te,mp-1185993,0,-0.005140127,0.300594262
Sr3CaMn2FeO10,mp-1218360,0,-2.485902621,0.028833956
Ti4Cu2O,mp-1217206,0,-0.842482473,0.122871007
Li6Fe9CoO20,mp-765392,0,-1.683836372,0.068946797
Ag2SO4,mp-660503,1.321,-1.223423661,0.030593033
DyZn5,mp-30627,0,-0.283336274,0.023859817
Ti2ReMo,mp-1096178,0,3.991931009,4.287670178
NaTa3Zn(PO4)6,mp-2713983,1.8389,-2.875446594,0.010230616
Sr2CaI6,mp-771643,3.2767,-1.879390977,0.094405369
USb2F15,mp-1178972,0.3167,-2.9722553,0.059783878
Li4Ti3V2Cr4O18,mp-774581,1.5461,-2.657043618,0.09552908
Zn4As2O9,mp-29437,2.042,-1.764449775,0.00764259
Te2W,mp-1028586,0.6218,-0.077843282,0.038708187
NaCaTiP(SO6)2,mp-2714565,1.4954,-2.558539768,0.08377952
CaSnS3,mp-866951,0,-0.951940843,0.435138811
KFeCuS2,mp-1223472,0,-0.746698394,0.109084377
CaCu3(RuO3)4,mp-6036,0,-1.276576009,0.027269228
C3N4,mp-570572,1.413,0.148286402,0.148286402
FeSnRh2,mp-1097141,0.2374,2.495548781,2.7965725
Li2CuP2O7,mp-6412,0,-2.448397293,0
Lu2SiO5,mp-18195,4.5675,-3.733685698,0.023591111
Sc2NiPt,mp-862368,0,-0.884355425,0
Hf3As,mp-582067,0,-0.640020218,0
MgMn4Zn2O8,mp-2227974,0.3139,-1.916441703,0.192266394
Ta2CuO6,mp-530850,0.0203,-2.546056648,0.026963353
MgWBr4O,mp-2226932,0,-1.450628198,0.157148264
Te3Pd5,mp-1208304,0.0178,0.226210042,0.557620818
InAg(WO4)2,mp-560403,2.1247,-1.899973322,0.021870958
Nb9AsO25,mp-759342,2.1016,-2.902813691,0.000127986
Mg(VS2)2,mp-1407214,0,-1.267229385,0.142961651
MgU2(SiO8)2,mp-1190722,0,-2.084571412,0.526085047
LiAlO2,mp-34993,4.5039,-2.991990422,0.102801655
CaEuHfVO6,mp-1519493,0,-3.262556531,0.140260933
Sr2HoBiO6,mp-1208845,1.8268,-2.865204525,0
Li6OsN4,mp-1029826,0,-0.538013635,0
Mn2NiO3,mp-1221867,0.6211,-1.68182247,0.077112978
Pr6S4N3Cl,mp-556087,1.168,-2.036499069,0.044459719
