formula,id,band_gap,formation_energy,energy_above_hull
Sr5As3H,mp-24338,0.6763999999999997,-1.2367941373611113,0.0
HoBi2C,mp-1212744,0.0,0.7797331790625011,1.2018769428124987
Rb2DyAgCl6,mp-1111733,3.7248,-2.1778802948333325,0.0068934486499978576
ErB4Os,mp-1191929,0.0,-0.5943680531944509,0.0
Pu2W2C3,mp-1078325,0.0,0.14658057714286038,0.21995948160714462
Eu2B5BrO9,mp-558834,0.8801000000000005,-2.992989901078433,0.0
H3ClO5,mp-625148,5.0433,-0.7738179120833332,0.04409151472222117
Li3MnAsCO7,mp-771034,2.1045999999999996,-2.1082622659946955,0.06015227634615439
Ba10Pr5Nb2(SnO10)3,mp-1229129,0.0,-3.022769304566667,0.033753985990622404
Sr3LaTi2Mn2O12,mp-1570791,0.37620000000000076,-3.138220625876437,0.06436344258332127
CuC3N2O5,mp-1192074,0.0,-0.7043485918181809,0.5001699928409087
TlGaS2,mp-4016,1.7885,-0.884232564895834,0.0
Ga3Te9Pd32,mp-1225042,0.030899999999999928,-0.33183931946960726,0.022120230914772776
K3TaO2F7,mp-734845,0.0,-2.852747285698717,0.12703314352563577
Li6MnSb3(PO4)6,mp-1176991,0.2319,-2.448689766644704,0.08851965968748665
Sn2S3,mp-1509,0.7774000000000001,-0.47331488118749976,0.0
Sr4TiN4,mp-1029799,1.0132999999999996,-1.1431295579629648,0.0
ZrTiPd,mp-1215240,0.0,-0.4334475397222259,0.04480754249999919
K2Cu(IF)2,mp-1147659,0.0,-1.6792124027857138,0.13128655296703284
Ba5(In2Sb3)2,mp-1195424,0.4508000000000001,-0.8022635762777772,0.0
HoPH5CO7,mp-557828,3.7281999999999997,-2.009399890726189,0.11948248920833748
AgSbS2,mp-3922,1.3716000000000004,-0.24963047140624894,0.0
Mg14AlCu,mp-1028244,0.0,0.0449797418750002,0.0790135007291668
La6NbGa11O28,mp-1227778,2.7175999999999996,-2.8132313909239137,0.09528335454710213
Mg30NbZnO32,mp-1037466,0.27369999999999983,-2.9195297382812493,0.06679211427163612
H4BrNO4,mp-1200039,3.1119,-0.50139847525,0.47890243958333123
Zr2AlTc,mp-1096736,0.0,3.122756712687501,3.5627067650624973
La2InNi2,mp-1106017,0.0,-0.45141672533333405,0.0
LiFe2(BO3)2,mp-759397,1.5637,-2.265901708333333,0.06070978014204176
Si3Ru2,mp-22192,0.5510999999999999,-0.619356679500001,0.0
MgTe2Mo2W2(Se2S)2,mp-2219162,0.0,-0.7277078655929472,0.2773943201923066
ZnNi3C,mp-16290,0.0,-0.059459465499999455,0.04252874849999966
Rb3Al,mp-975052,0.0,0.3533911193749999,0.3533911193749999
Li5BiO5,mp-29365,1.3597000000000001,-1.9488605756060615,0.0
Sr(C4N3)2,mp-1246085,3.3602,-0.02598053000000012,0.2505281391666667
Ce4SiI5,mp-1206019,0.0,-1.341759239999999,0.0
Hg2CN3Cl5,mp-1212240,0.0,0.21803274068181625,0.8477652175757595
CsHSO4,mp-557752,5.564399999999999,-1.9496994369150242,0.008649523214286248
Co3P4PbO14,mp-562742,3.0652000000000004,-2.3019181087987017,0.0
Pr3S3N,mp-558940,1.1501000000000001,-2.190856987455354,0.0
CeAl2Ag3,mp-1226637,0.0,-0.2582395224999979,0.0
TbBr3,mp-863746,2.8564,-2.1631548625000008,0.0
ZrAlCu,mp-1215318,0.0,-0.40291339833333356,0.0
SrLa2(CoO3)3,mp-1301679,0.0,-2.3934801291666665,0.005335312833362416
Pr3SiAgSe7,mp-17389,1.4423000000000004,-1.6154575352560763,0.0
Sb4O5F2,mp-759602,2.8185,-1.951917826363636,0.04307619409091057
MgVCrP2(O4F)2,mp-2226708,2.2048,-2.830956579285713,0.049365516666652454
Nd4Ga17Ni2,mp-1220632,0.0,-0.400345375978261,0.09457655395652065
Sm5AgS8,mp-37923,1.6384999999999996,-2.113616748333333,0.02401717883928267
CeFeB4,mp-1213808,0.0,-0.5553620844444431,0.02113763833332971
SrFe12O19,mp-1218653,1.0309,-1.7192306022656236,0.08176724675781877
Rb11Al14Si10(AgO16)3,mp-1251571,0.006599999999999939,-2.842353464505814,0.20255310645348779
